EDAM_data:0005, "Resource type"
EDAM_data:1658, "Environmental information processing pathway report"
EDAM_data:1659, "Signal transduction pathway report"
EDAM_data:1660, "Cellular process pathways report"
EDAM_data:1661, "Disease pathway or network report"
EDAM_data:1662, "Drug structure relationship map"
EDAM_data:1663, "Protein interaction networks"
EDAM_data:1664, "MIRIAM datatype"
EDAM_data:1667, "E-value"
EDAM_data:1668, "Z-value"
EDAM_data:1669, "P-value"
EDAM_data:1670, "Database version information"
EDAM_data:1671, "Tool version information"
EDAM_data:1672, "CATH version information"
EDAM_data:1673, "Swiss-Prot to PDB mapping"
EDAM_data:1674, "Sequence database cross-references"
EDAM_data:1675, "Job status"
EDAM_data:1676, "Job ID"
EDAM_data:1677, "Job type"
EDAM_data:1678, "Tool log"
EDAM_data:1679, "DaliLite log file"
EDAM_data:1680, "STRIDE log file"
EDAM_data:1681, "NACCESS log file"
EDAM_data:1682, "EMBOSS wordfinder log file"
EDAM_data:1683, "EMBOSS domainatrix log file"
EDAM_data:1684, "EMBOSS sites log file"
EDAM_data:1685, "EMBOSS supermatcher error file"
EDAM_data:1686, "EMBOSS megamerger log file"
EDAM_data:1687, "EMBOSS whichdb log file"
EDAM_data:1688, "EMBOSS vectorstrip log file"
EDAM_data:1689, "Username"
EDAM_data:1690, "Password"
EDAM_data:1691, "Email address"
EDAM_data:1692, "Person name"
EDAM_data:1693, "Number of iterations"
EDAM_data:1694, "Number of output entities"
EDAM_data:1695, "Hit sort order"
EDAM_data:1696, "Drug report"
EDAM_data:1707, "Phylogenetic tree image"
EDAM_data:1708, "RNA secondary structure image"
EDAM_data:1709, "Protein secondary structure image"
EDAM_data:1710, "Structure image"
EDAM_data:1711, "Sequence alignment image"
EDAM_data:1712, "Chemical structure image"
EDAM_data:1713, "Fate map"
EDAM_data:1714, "Microarray spots image"
EDAM_data:1715, "BioPax term"
EDAM_data:1716, "GO"
EDAM_data:1717, "MeSH"
EDAM_data:1718, "HGNC"
EDAM_data:1719, "NCBI taxonomy vocabulary"
EDAM_data:1720, "Plant ontology term"
EDAM_data:1721, "UMLS"
EDAM_data:1722, "FMA"
EDAM_data:1723, "EMAP"
EDAM_data:1724, "ChEBI"
EDAM_data:1725, "MGED"
EDAM_data:1726, "myGrid"
EDAM_data:1727, "GO (biological process)"
EDAM_data:1728, "GO (molecular function)"
EDAM_data:1729, "GO (cellular component)"
EDAM_data:1730, "Ontology relation type"
EDAM_data:1731, "Ontology concept definition"
EDAM_data:1732, "Ontology concept comment"
EDAM_data:1733, "Ontology concept reference"
EDAM_data:1738, "doc2loc document information"
EDAM_data:1742, "PDB residue number"
EDAM_data:1743, "Atomic coordinate"
EDAM_data:1744, "Atomic x coordinate"
EDAM_data:1745, "Atomic y coordinate"
EDAM_data:1746, "Atomic z coordinate"
EDAM_data:1748, "PDB atom name"
EDAM_data:1755, "Protein atom"
EDAM_data:1756, "Protein residue"
EDAM_data:1757, "Atom name"
EDAM_data:1758, "PDB residue name"
EDAM_data:1759, "PDB model number"
EDAM_data:1762, "CATH domain report"
EDAM_data:1764, "CATH representative domain sequences (ATOM)"
EDAM_data:1765, "CATH representative domain sequences (COMBS)"
EDAM_data:1766, "CATH domain sequences (ATOM)"
EDAM_data:1767, "CATH domain sequences (COMBS)"
EDAM_data:1771, "Sequence version"
EDAM_data:1772, "Score"
EDAM_data:1776, "Protein report (function)"
EDAM_data:1783, "Gene name (ASPGD)"
EDAM_data:1784, "Gene name (CGD)"
EDAM_data:1785, "Gene name (dictyBase)"
EDAM_data:1786, "Gene name (EcoGene primary)"
EDAM_data:1787, "Gene name (MaizeGDB)"
EDAM_data:1788, "Gene name (SGD)"
EDAM_data:1789, "Gene name (TGD)"
EDAM_data:1790, "Gene name (CGSC)"
EDAM_data:1791, "Gene name (HGNC)"
EDAM_data:1792, "Gene name (MGD)"
EDAM_data:1793, "Gene name (Bacillus subtilis)"
EDAM_data:1794, "Gene ID (PlasmoDB)"
EDAM_data:1795, "Gene ID (EcoGene)"
EDAM_data:1796, "Gene ID (FlyBase)"
EDAM_data:1797, "Gene ID (GeneDB Glossina morsitans)"
EDAM_data:1798, "Gene ID (GeneDB Leishmania major)"
EDAM_data:1799, "Gene ID (GeneDB Plasmodium falciparum)"
EDAM_data:1800, "Gene ID (GeneDB Schizosaccharomyces pombe)"
EDAM_data:1801, "Gene ID (GeneDB Trypanosoma brucei)"
EDAM_data:1802, "Gene ID (Gramene)"
EDAM_data:1803, "Gene ID (Virginia microbial)"
EDAM_data:1804, "Gene ID (SGN)"
EDAM_data:1805, "Gene ID (WormBase)"
EDAM_data:1806, "Gene synonym"
EDAM_data:1807, "ORF name"
EDAM_data:1852, "Sequence assembly component"
EDAM_data:1853, "Chromosome annotation (aberration)"
EDAM_data:1855, "Clone ID"
EDAM_data:1856, "PDB insertion code"
EDAM_data:1857, "Atomic occupancy"
EDAM_data:1858, "Isotropic B factor"
EDAM_data:1859, "Deletion map"
EDAM_data:1860, "QTL map"
EDAM_data:1863, "Haplotype map"
EDAM_data:1864, "Map set data"
EDAM_data:1865, "Map feature"
EDAM_data:1866, "Map type"
EDAM_data:1867, "Protein fold name"
EDAM_data:1868, "Taxon"
EDAM_data:1869, "Organism identifier"
EDAM_data:1870, "Genus name"
EDAM_data:1872, "Taxonomic classification"
EDAM_data:1873, "iHOP organism ID"
EDAM_data:1874, "Genbank common name"
EDAM_data:1875, "NCBI taxon"
EDAM_data:1877, "Synonym"
EDAM_data:1878, "Misspelling"
EDAM_data:1879, "Acronym"
EDAM_data:1880, "Misnomer"
EDAM_data:1881, "Author ID"
EDAM_data:1882, "DragonDB author identifier"
EDAM_data:1883, "Annotated URI"
EDAM_data:1884, "UniProt keywords"
EDAM_data:1885, "Gene ID (GeneFarm)"
EDAM_data:1886, "Blattner number"
EDAM_data:1887, "Gene ID (MIPS Maize)"
EDAM_data:1888, "Gene ID (MIPS Medicago)"
EDAM_data:1889, "Gene name (DragonDB)"
EDAM_data:1890, "Gene name (Arabidopsis)"
EDAM_data:1891, "iHOP symbol"
EDAM_data:1892, "Gene name (GeneFarm)"
EDAM_data:1893, "Locus ID"
EDAM_data:1895, "Locus ID (AGI)"
EDAM_data:1896, "Locus ID (ASPGD)"
EDAM_data:1897, "Locus ID (MGG)"
EDAM_data:1898, "Locus ID (CGD)"
EDAM_data:1899, "Locus ID (CMR)"
EDAM_data:1900, "NCBI locus tag"
EDAM_data:1901, "Locus ID (SGD)"
EDAM_data:1902, "Locus ID (MMP)"
EDAM_data:1903, "Locus ID (DictyBase)"
EDAM_data:1904, "Locus ID (EntrezGene)"
EDAM_data:1905, "Locus ID (MaizeGDB)"
EDAM_data:1906, "Quantitative trait locus"
EDAM_data:1907, "Gene ID (KOME)"
EDAM_data:1908, "Locus ID (Tropgene)"
EDAM_data:1916, "Alignment"
EDAM_data:1917, "Atomic property"
EDAM_data:2007, "UniProt keyword"
EDAM_data:2009, "Ordered locus name"
EDAM_data:2012, "Sequence coordinates"
EDAM_data:2016, "Amino acid property"
EDAM_data:2018, "Annotation"
EDAM_data:2019, "Map data"
EDAM_data:2022, "Vienna RNA structural data"
EDAM_data:2023, "Sequence mask parameter"
EDAM_data:2024, "Enzyme kinetics data"
EDAM_data:2025, "Michaelis Menten plot"
EDAM_data:2026, "Hanes Woolf plot"
EDAM_data:2028, "Experimental data"
EDAM_data:2041, "Genome version information"
EDAM_data:2042, "Evidence"
EDAM_data:2043, "Sequence record lite"
EDAM_data:2044, "Sequence"
EDAM_data:2046, "Nucleic acid sequence record (lite)"
EDAM_data:2047, "Protein sequence record (lite)"
EDAM_data:2048, "Report"
EDAM_data:2050, "Molecular property (general)"
EDAM_data:2053, "Structural data"
EDAM_data:2070, "Sequence motif (nucleic acid)"
EDAM_data:2071, "Sequence motif (protein)"
EDAM_data:2079, "Search parameter"
EDAM_data:2080, "Database search results"
EDAM_data:2081, "Secondary structure"
EDAM_data:2082, "Matrix"
EDAM_data:2083, "Alignment data"
EDAM_data:2084, "Nucleic acid report"
EDAM_data:2085, "Structure report"
EDAM_data:2086, "Nucleic acid structure data"
EDAM_data:2087, "Molecular property"
EDAM_data:2088, "DNA base structural data"
EDAM_data:2090, "Database entry version information"
EDAM_data:2091, "Accession"
EDAM_data:2092, "SNP"
EDAM_data:2093, "Data reference"
EDAM_data:2098, "Job identifier"
EDAM_data:2099, "Name"
EDAM_data:2100, "Type"
EDAM_data:2101, "User ID"
EDAM_data:2102, "KEGG organism code"
EDAM_data:2103, "Gene name (KEGG GENES)"
EDAM_data:2104, "BioCyc ID"
EDAM_data:2105, "Compound ID (BioCyc)"
EDAM_data:2106, "Reaction ID (BioCyc)"
EDAM_data:2107, "Enzyme ID (BioCyc)"
EDAM_data:2108, "Reaction ID"
EDAM_data:2109, "Identifier (hybrid)"
EDAM_data:2110, "Molecular property identifier"
EDAM_data:2111, "Codon usage table ID"
EDAM_data:2112, "FlyBase primary identifier"
EDAM_data:2113, "WormBase identifier"
EDAM_data:2114, "WormBase wormpep ID"
EDAM_data:2116, "Nucleic acid features (codon)"
EDAM_data:2117, "Map identifier"
EDAM_data:2118, "Person identifier"
EDAM_data:2119, "Nucleic acid identifier"
EDAM_data:2126, "Translation frame specification"
EDAM_data:2127, "Genetic code identifier"
EDAM_data:2128, "Genetic code name"
EDAM_data:2129, "File format name"
EDAM_data:2130, "Sequence profile type"
EDAM_data:2131, "Operating system name"
EDAM_data:2132, "Mutation type"
EDAM_data:2133, "Logical operator"
EDAM_data:2134, "Results sort order"
EDAM_data:2135, "Toggle"
EDAM_data:2136, "Sequence width"
EDAM_data:2137, "Gap penalty"
EDAM_data:2139, "Nucleic acid melting temperature"
EDAM_data:2140, "Concentration"
EDAM_data:2141, "Window step size"
EDAM_data:2142, "EMBOSS graph"
EDAM_data:2143, "EMBOSS report"
EDAM_data:2145, "Sequence offset"
EDAM_data:2146, "Threshold"
EDAM_data:2147, "Protein report (transcription factor)"
EDAM_data:2149, "Database category name"
EDAM_data:2150, "Sequence profile name"
EDAM_data:2151, "Color"
EDAM_data:2152, "Rendering parameter"
EDAM_data:2154, "Sequence name"
EDAM_data:2156, "Date"
EDAM_data:2157, "Word composition"
EDAM_data:2160, "Fickett testcode plot"
EDAM_data:2161, "Sequence similarity plot"
EDAM_data:2162, "Helical wheel"
EDAM_data:2163, "Helical net"
EDAM_data:2164, "Protein sequence properties plot"
EDAM_data:2165, "Protein ionization curve"
EDAM_data:2166, "Sequence composition plot"
EDAM_data:2167, "Nucleic acid density plot"
EDAM_data:2168, "Sequence trace image"
EDAM_data:2169, "Nucleic acid features (siRNA)"
EDAM_data:2173, "Sequence set (stream)"
EDAM_data:2174, "FlyBase secondary identifier"
EDAM_data:2176, "Cardinality"
EDAM_data:2177, "Exactly 1"
EDAM_data:2178, "1 or more"
EDAM_data:2179, "Exactly 2"
EDAM_data:2180, "2 or more"
EDAM_data:2190, "Sequence checksum"
EDAM_data:2191, "Protein features report (chemical modifications)"
EDAM_data:2192, "Error"
EDAM_data:2193, "Database entry metadata"
EDAM_data:2198, "Gene cluster"
EDAM_data:2201, "Sequence record full"
EDAM_data:2208, "Plasmid identifier"
EDAM_data:2209, "Mutation ID"
EDAM_data:2212, "Mutation annotation (basic)"
EDAM_data:2213, "Mutation annotation (prevalence)"
EDAM_data:2214, "Mutation annotation (prognostic)"
EDAM_data:2215, "Mutation annotation (functional)"
EDAM_data:2216, "Codon number"
EDAM_data:2217, "Tumor annotation"
EDAM_data:2218, "Server metadata"
EDAM_data:2219, "Database field name"
EDAM_data:2220, "Sequence cluster ID (SYSTERS)"
EDAM_data:2223, "Ontology metadata"
EDAM_data:2235, "Raw SCOP domain classification"
EDAM_data:2236, "Raw CATH domain classification"
EDAM_data:2240, "Heterogen annotation"
EDAM_data:2242, "Phylogenetic property values"
EDAM_data:2245, "Sequence set (bootstrapped)"
EDAM_data:2247, "Phylogenetic consensus tree"
EDAM_data:2248, "Schema"
EDAM_data:2249, "DTD"
EDAM_data:2250, "XML Schema"
EDAM_data:2251, "Relax-NG schema"
EDAM_data:2252, "XSLT stylesheet"
EDAM_data:2253, "Data resource definition name"
EDAM_data:2254, "OBO file format name"
EDAM_data:2285, "Gene ID (MIPS)"
EDAM_data:2288, "Sequence identifier (protein)"
EDAM_data:2289, "Sequence identifier (nucleic acid)"
EDAM_data:2290, "EMBL accession"
EDAM_data:2291, "UniProt ID"
EDAM_data:2292, "GenBank accession"
EDAM_data:2293, "Gramene secondary identifier"
EDAM_data:2294, "Sequence variation ID"
EDAM_data:2295, "Gene ID"
EDAM_data:2296, "Gene name (AceView)"
EDAM_data:2297, "Gene ID (ECK)"
EDAM_data:2298, "Gene ID (HGNC)"
EDAM_data:2299, "Gene name"
EDAM_data:2300, "Gene name (NCBI)"
EDAM_data:2301, "SMILES string"
EDAM_data:2302, "STRING ID"
EDAM_data:2307, "Virus annotation"
EDAM_data:2308, "Virus annotation (taxonomy)"
EDAM_data:2309, "Reaction ID (SABIO-RK)"
EDAM_data:2313, "Carbohydrate report"
EDAM_data:2314, "GI number"
EDAM_data:2315, "NCBI version"
EDAM_data:2316, "Cell line name"
EDAM_data:2317, "Cell line name (exact)"
EDAM_data:2318, "Cell line name (truncated)"
EDAM_data:2319, "Cell line name (no punctuation)"
EDAM_data:2320, "Cell line name (assonant)"
EDAM_data:2321, "Enzyme ID"
EDAM_data:2325, "REBASE enzyme number"
EDAM_data:2326, "DrugBank ID"
EDAM_data:2327, "GI number (protein)"
EDAM_data:2335, "Bit score"
EDAM_data:2336, "Translation phase specification"
EDAM_data:2337, "Resource metadata"
EDAM_data:2338, "Ontology identifier"
EDAM_data:2339, "Ontology concept name"
EDAM_data:2340, "Genome build identifier"
EDAM_data:2342, "Pathway or network name"
EDAM_data:2343, "Pathway ID (KEGG)"
EDAM_data:2344, "Pathway ID (NCI-Nature)"
EDAM_data:2345, "Pathway ID (ConsensusPathDB)"
EDAM_data:2346, "Sequence cluster ID (UniRef)"
EDAM_data:2347, "Sequence cluster ID (UniRef100)"
EDAM_data:2348, "Sequence cluster ID (UniRef90)"
EDAM_data:2349, "Sequence cluster ID (UniRef50)"
EDAM_data:2353, "Ontology data"
EDAM_data:2354, "RNA family report"
EDAM_data:2355, "RNA family identifier"
EDAM_data:2356, "RFAM accession"
EDAM_data:2357, "Protein signature type"
EDAM_data:2358, "Domain-nucleic acid interaction report"
EDAM_data:2359, "Domain-domain interactions"
EDAM_data:2360, "Domain-domain interaction (indirect)"
EDAM_data:2362, "Sequence accession (hybrid)"
EDAM_data:2363, "2D PAGE data"
EDAM_data:2364, "2D PAGE report"
EDAM_data:2365, "Pathway or network accession"
EDAM_data:2366, "Secondary structure alignment"
EDAM_data:2367, "ASTD ID"
EDAM_data:2368, "ASTD ID (exon)"
EDAM_data:2369, "ASTD ID (intron)"
EDAM_data:2370, "ASTD ID (polya)"
EDAM_data:2371, "ASTD ID (tss)"
EDAM_data:2372, "2D PAGE spot report"
EDAM_data:2373, "Spot ID"
EDAM_data:2374, "Spot serial number"
EDAM_data:2375, "Spot ID (HSC-2DPAGE)"
EDAM_data:2378, "Protein-motif interaction"
EDAM_data:2379, "Strain identifier"
EDAM_data:2380, "CABRI accession"
EDAM_data:2381, "Experiment report (genotyping)"
EDAM_data:2382, "Genotype experiment ID"
EDAM_data:2383, "EGA accession"
EDAM_data:2384, "IPI protein ID"
EDAM_data:2385, "RefSeq accession (protein)"
EDAM_data:2386, "EPD ID"
EDAM_data:2387, "TAIR accession"
EDAM_data:2388, "TAIR accession (At gene)"
EDAM_data:2389, "UniSTS accession"
EDAM_data:2390, "UNITE accession"
EDAM_data:2391, "UTR accession"
EDAM_data:2392, "UniParc accession"
EDAM_data:2393, "mFLJ/mKIAA number"
EDAM_data:2395, "Fungi annotation"
EDAM_data:2396, "Fungi annotation (anamorph)"
EDAM_data:2397, "Gene features report (exon)"
EDAM_data:2398, "Ensembl protein ID"
EDAM_data:2399, "Gene transcriptional features report"
EDAM_data:2400, "Toxin annotation"
EDAM_data:2401, "Protein report (membrane protein)"
EDAM_data:2402, "Protein-drug interaction report"
EDAM_data:2522, "Map data"
EDAM_data:2523, "Phylogenetic data"
EDAM_data:2524, "Protein data"
EDAM_data:2525, "Nucleic acid data"
EDAM_data:2526, "Article data"
EDAM_data:2527, "Parameter"
EDAM_data:2528, "Molecular data"
EDAM_data:2529, "Molecule report"
EDAM_data:2530, "Organism report"
EDAM_data:2531, "Experiment report"
EDAM_data:2533, "Nucleic acid features report (mutation)"
EDAM_data:2534, "Sequence attribute"
EDAM_data:2535, "Sequence tag profile"
EDAM_data:2536, "Mass spectrometry data"
EDAM_data:2537, "Protein structure raw data"
EDAM_data:2538, "Mutation identifier"
EDAM_data:2539, "Alignment data"
EDAM_data:2540, "Data index data"
EDAM_data:2563, "Amino acid name (single letter)"
EDAM_data:2564, "Amino acid name (three letter)"
EDAM_data:2565, "Amino acid name (full name)"
EDAM_data:2576, "Toxin identifier"
EDAM_data:2578, "ArachnoServer ID"
EDAM_data:2579, "Expressed gene list"
EDAM_data:2580, "BindingDB Monomer ID"
EDAM_data:2581, "GO concept name"
EDAM_data:2582, "GO concept ID (biological process)"
EDAM_data:2583, "GO concept ID (molecular function)"
EDAM_data:2584, "GO concept name (cellular component)"
EDAM_data:2586, "Northern blot image"
EDAM_data:2587, "Blot ID"
EDAM_data:2588, "BlotBase blot ID"
EDAM_data:2589, "Hierarchy"
EDAM_data:2590, "Hierarchy identifier"
EDAM_data:2591, "Brite hierarchy ID"
EDAM_data:2592, "Cancer type"
EDAM_data:2593, "BRENDA organism ID"
EDAM_data:2594, "UniGene taxon"
EDAM_data:2595, "UTRdb taxon"
EDAM_data:2596, "Catalogue ID"
EDAM_data:2597, "CABRI catalogue name"
EDAM_data:2598, "Secondary structure alignment metadata"
EDAM_data:2599, "Molecule interaction report"
EDAM_data:2600, "Pathway or network"
EDAM_data:2601, "Small molecule data"
EDAM_data:2602, "Genotype and phenotype data"
EDAM_data:2603, "Gene expression data"
EDAM_data:2605, "Compound ID (KEGG)"
EDAM_data:2606, "RFAM name"
EDAM_data:2608, "Reaction ID (KEGG)"
EDAM_data:2609, "Drug ID (KEGG)"
EDAM_data:2610, "Ensembl ID"
EDAM_data:2611, "ICD identifier"
EDAM_data:2612, "Sequence cluster ID (CluSTr)"
EDAM_data:2613, "KEGG Glycan ID"
EDAM_data:2614, "TCDB ID"
EDAM_data:2615, "MINT ID"
EDAM_data:2616, "DIP ID"
EDAM_data:2617, "Signaling Gateway protein ID"
EDAM_data:2618, "Protein modification ID"
EDAM_data:2619, "RESID ID"
EDAM_data:2620, "RGD ID"
EDAM_data:2621, "TAIR accession (protein)"
EDAM_data:2622, "Compound ID (HMDB)"
EDAM_data:2625, "LIPID MAPS ID"
EDAM_data:2626, "PeptideAtlas ID"
EDAM_data:2627, "Molecular interaction ID"
EDAM_data:2628, "BioGRID interaction ID"
EDAM_data:2629, "Enzyme ID (MEROPS)"
EDAM_data:2630, "Mobile genetic element ID"
EDAM_data:2631, "ACLAME ID"
EDAM_data:2632, "SGD ID"
EDAM_data:2633, "Book ID"
EDAM_data:2634, "ISBN"
EDAM_data:2635, "Compound ID (3DMET)"
EDAM_data:2636, "MatrixDB interaction ID"
EDAM_data:2637, "cPath ID"
EDAM_data:2638, "PubChem bioassay ID"
EDAM_data:2639, "PubChem ID"
EDAM_data:2641, "Reaction ID (MACie)"
EDAM_data:2642, "Gene ID (miRBase)"
EDAM_data:2643, "Gene ID (ZFIN)"
EDAM_data:2644, "Reaction ID (Rhea)"
EDAM_data:2645, "Pathway ID (Unipathway)"
EDAM_data:2646, "Compound ID (ChEMBL)"
EDAM_data:2647, "LGICdb identifier"
EDAM_data:2648, "Reaction kinetics ID (SABIO-RK)"
EDAM_data:2649, "PharmGKB ID"
EDAM_data:2650, "Pathway ID (PharmGKB)"
EDAM_data:2651, "Disease ID (PharmGKB)"
EDAM_data:2652, "Drug ID (PharmGKB)"
EDAM_data:2653, "Drug ID (TTD)"
EDAM_data:2654, "Target ID (TTD)"
EDAM_data:2655, "Cell type identifier"
EDAM_data:2656, "NeuronDB ID"
EDAM_data:2657, "NeuroMorpho ID"
EDAM_data:2658, "Compound ID (ChemIDplus)"
EDAM_data:2659, "Pathway ID (SMPDB)"
EDAM_data:2660, "BioNumbers ID"
EDAM_data:2662, "T3DB ID"
EDAM_data:2663, "Carbohydrate identifier"
EDAM_data:2664, "GlycomeDB ID"
EDAM_data:2665, "LipidBank ID"
EDAM_data:2666, "CDD ID"
EDAM_data:2667, "MMDB ID"
EDAM_data:2668, "iRefIndex ID"
EDAM_data:2669, "ModelDB ID"
EDAM_data:2670, "Pathway ID (DQCS)"
EDAM_data:2671, "Ensembl ID (Homo sapiens)"
EDAM_data:2672, "Ensembl ID ('Bos taurus')"
EDAM_data:2673, "Ensembl ID ('Canis familiaris')"
EDAM_data:2674, "Ensembl ID ('Cavia porcellus')"
EDAM_data:2675, "Ensembl ID ('Ciona intestinalis')"
EDAM_data:2676, "Ensembl ID ('Ciona savignyi')"
EDAM_data:2677, "Ensembl ID ('Danio rerio')"
EDAM_data:2678, "Ensembl ID ('Dasypus novemcinctus')"
EDAM_data:2679, "Ensembl ID ('Echinops telfairi')"
EDAM_data:2680, "Ensembl ID ('Erinaceus europaeus')"
EDAM_data:2681, "Ensembl ID ('Felis catus')"
EDAM_data:2682, "Ensembl ID ('Gallus gallus')"
EDAM_data:2683, "Ensembl ID ('Gasterosteus aculeatus')"
EDAM_data:2684, "Ensembl ID ('Homo sapiens')"
EDAM_data:2685, "Ensembl ID ('Loxodonta africana')"
EDAM_data:2686, "Ensembl ID ('Macaca mulatta')"
EDAM_data:2687, "Ensembl ID ('Monodelphis domestica')"
EDAM_data:2688, "Ensembl ID ('Mus musculus')"
EDAM_data:2689, "Ensembl ID ('Myotis lucifugus')"
EDAM_data:2690, "Ensembl ID ("Ornithorhynchus anatinus")"
EDAM_data:2691, "Ensembl ID ('Oryctolagus cuniculus')"
EDAM_data:2692, "Ensembl ID ('Oryzias latipes')"
EDAM_data:2693, "Ensembl ID ('Otolemur garnettii')"
EDAM_data:2694, "Ensembl ID ('Pan troglodytes')"
EDAM_data:2695, "Ensembl ID ('Rattus norvegicus')"
EDAM_data:2696, "Ensembl ID ('Spermophilus tridecemlineatus')"
EDAM_data:2697, "Ensembl ID ('Takifugu rubripes')"
EDAM_data:2698, "Ensembl ID ('Tupaia belangeri')"
EDAM_data:2699, "Ensembl ID ('Xenopus tropicalis')"
EDAM_data:2700, "CATH identifier"
EDAM_data:2701, "CATH node ID (family)"
EDAM_data:2702, "Enzyme ID (CAZy)"
EDAM_data:2704, "Clone ID (IMAGE)"
EDAM_data:2705, "GO concept ID (cellular compartment)"
EDAM_data:2706, "Chromosome name (BioCyc)"
EDAM_data:2709, "CleanEx entry name"
EDAM_data:2710, "CleanEx dataset code"
EDAM_data:2711, "Genome report"
EDAM_data:2713, "Protein ID (CORUM)"
EDAM_data:2714, "CDD PSSM-ID"
EDAM_data:2715, "Protein ID (CuticleDB)"
EDAM_data:2716, "DBD ID"
EDAM_data:2717, "Oligonucleotide probe annotation"
EDAM_data:2718, "Oligonucleotide ID"
EDAM_data:2719, "dbProbe ID"
EDAM_data:2720, "Dinucleotide property"
EDAM_data:2721, "DiProDB ID"
EDAM_data:2722, "Protein features report (disordered structure)"
EDAM_data:2723, "Protein ID (DisProt)"
EDAM_data:2724, "Embryo report"
EDAM_data:2725, "Ensembl transcript ID"
EDAM_data:2726, "Inhibitor annotation"
EDAM_data:2727, "Promoter ID"
EDAM_data:2728, "EST accession"
EDAM_data:2729, "COGEME EST ID"
EDAM_data:2730, "COGEME unisequence ID"
EDAM_data:2731, "Protein family ID (GeneFarm)"
EDAM_data:2732, "Family name"
EDAM_data:2733, "Genus name (virus)"
EDAM_data:2734, "Family name (virus)"
EDAM_data:2735, "Database name (SwissRegulon)"
EDAM_data:2736, "Sequence feature ID (SwissRegulon)"
EDAM_data:2737, "FIG ID"
EDAM_data:2738, "Gene ID (Xenbase)"
EDAM_data:2739, "Gene ID (Genolist)"
EDAM_data:2740, "Gene name (Genolist)"
EDAM_data:2741, "ABS ID"
EDAM_data:2742, "AraC-XylS ID"
EDAM_data:2743, "Gene name (HUGO)"
EDAM_data:2744, "Locus ID (PseudoCAP)"
EDAM_data:2745, "Locus ID (UTR)"
EDAM_data:2746, "MonosaccharideDB ID"
EDAM_data:2747, "Database name (CMD)"
EDAM_data:2748, "Database name (Osteogenesis)"
EDAM_data:2749, "Genome identifier"
EDAM_data:2751, "GenomeReviews ID"
EDAM_data:2752, "GlycoMap ID"
EDAM_data:2753, "Carbohydrate conformational map"
EDAM_data:2754, "Gene features report (intron)"
EDAM_data:2755, "Transcription factor name"
EDAM_data:2756, "TCID"
EDAM_data:2757, "Pfam domain name"
EDAM_data:2758, "Pfam clan ID"
EDAM_data:2759, "Gene ID (VectorBase)"
EDAM_data:2761, "UTRSite ID"
EDAM_data:2762, "Sequence signature report"
EDAM_data:2763, "Locus annotation"
EDAM_data:2764, "Protein name (UniProt)"
EDAM_data:2765, "Term ID list"
EDAM_data:2766, "HAMAP ID"
EDAM_data:2767, "Identifier with metadata"
EDAM_data:2768, "Gene symbol annotation"
EDAM_data:2769, "Transcript ID"
EDAM_data:2770, "HIT ID"
EDAM_data:2771, "HIX ID"
EDAM_data:2772, "HPA antibody id"
EDAM_data:2773, "IMGT/HLA ID"
EDAM_data:2774, "Gene ID (JCVI)"
EDAM_data:2775, "Kinase name"
EDAM_data:2776, "ConsensusPathDB entity ID"
EDAM_data:2777, "ConsensusPathDB entity name"
EDAM_data:2778, "CCAP strain number"
EDAM_data:2779, "Stock number"
EDAM_data:2780, "Stock number (TAIR)"
EDAM_data:2781, "REDIdb ID"
EDAM_data:2782, "SMART domain name"
EDAM_data:2783, "Protein family ID (PANTHER)"
EDAM_data:2784, "RNAVirusDB ID"
EDAM_data:2785, "Virus ID"
EDAM_data:2786, "NCBI Genome Project ID"
EDAM_data:2787, "NCBI genome accession"
EDAM_data:2788, "Sequence profile data"
EDAM_data:2789, "Protein ID (TopDB)"
EDAM_data:2790, "Gel ID"
EDAM_data:2791, "Reference map name (SWISS-2DPAGE)"
EDAM_data:2792, "Protein ID (PeroxiBase)"
EDAM_data:2793, "SISYPHUS ID"
EDAM_data:2794, "ORF ID"
EDAM_data:2795, "ORF identifier"
EDAM_data:2796, "Linucs ID"
EDAM_data:2797, "Protein ID (LGICdb)"
EDAM_data:2798, "MaizeDB ID"
EDAM_data:2799, "Gene ID (MfunGD)"
EDAM_data:2800, "Orpha number"
EDAM_data:2802, "Protein ID (EcID)"
EDAM_data:2803, "Clone ID (RefSeq)"
EDAM_data:2804, "Protein ID (ConoServer)"
EDAM_data:2805, "GeneSNP ID"
EDAM_data:2812, "Lipid identifier"
EDAM_data:2831, "Databank"
EDAM_data:2832, "Web portal"
EDAM_data:2835, "Gene ID (VBASE2)"
EDAM_data:2836, "DPVweb ID"
EDAM_data:2837, "Pathway ID (BioSystems)"
EDAM_data:2838, "Experimental data (proteomics)"
EDAM_data:2849, "Abstract"
EDAM_data:2850, "Lipid structure"
EDAM_data:2851, "Drug structure"
EDAM_data:2852, "Toxin structure"
EDAM_data:2854, "Position-specific scoring matrix"
EDAM_data:2855, "Distance matrix"
EDAM_data:2856, "Structural distance matrix"
EDAM_data:2857, "Article metadata"
EDAM_data:2858, "Ontology concept"
EDAM_data:2865, "Codon usage bias"
EDAM_data:2866, "Northern blot report"
EDAM_data:2867, "Nucleic acid features report (VNTR)"
EDAM_data:2868, "Nucleic acid features report (microsatellite)"
EDAM_data:2869, "Nucleic acid features report (RFLP)"
EDAM_data:2870, "Radiation hybrid map"
